name,address,town,postcode,phone,website,attended_price,cremation_price,nafd_member,saif_member,verified
Richard & Shannon Jenkins Funeral Directors,3 Allerton Rd,Liverpool,L18 1LG,0151 808 0108,https://rsjfunerals.co.uk,2200,1500,false,false,true
Desmond L Bannon & Sons,"The White House, Broad Green Rd",Liverpool,L13 5SF,0151-228-2272,https://www.bannonsfunerals.com,1950,875,,,true
Debbie Bennett Funeral Directors,31 High Street,Liverpool,L34 6HE,0151 426 3131,https://debbiebennettfuneraldirectors.co.uk,1500,795,true,,true
William H Painter Funeral Directors,,Birmingham,NG1 6HH,0121 706 1291,https://www.williamhpainter.co.uk,3870,,false,false,true
A Natural Undertaking,290 Vicarage Rd,Birmingham,B14 7NH,0121 444 0437,https://www.anaturalundertaking.co.uk,2485,1450,,,true
A. B. Taylor Funeral Services,49 Wolverhampton Road South,Birmingham,B32 2AY,0121 663 6433,https://abtaylorfunerals.co.uk,2800,1975,,,true
Wm. Dodgson & Son Funeral Services,,Leeds,NG1 6HH,0113 249 8849,https://www.wmdodgson.co.uk,3945,1984,false,false,true
Peace Funerals,,Sheffield,,,https://peacefunerals.co.uk,1485,395,false,false,true
H. Keeton Independent Family Funeral Directors,"Highfield Lane, Handsworth",Sheffield,S13 9NA,0114 269 2785,https://www.hkeetonfuneraldirectors.co.uk,1661,1390,true,false,true
Newcastle Family Funeral Directors,71-73 Great North Road,Newcastle,NE3 2DQ,0191 284 5400,http://funeraldirectorsnewcastle.co.uk,2500,1195,,,true
Nottinghamshire Funeral Service,"11 Bexon Court, Foxhill Road",Nottingham,NG4 1SQ,0115 987 1237,http://www.nottinghamshirefuneralservice.co.uk,,1500,false,false,true
Ivor Thomas Funerals,81 Rhydhelig Avenue,Cardiff,CF14 4DB,029 2169 0022,http://ivorthomasfunerals.co.uk,4240,1550,,,true
Coles Funeral Directors,792-794 Newport Road,Cardiff,CF3 4FH,02920 797 516,https://www.colesfuneraldirectors.co.uk,5519,1395,,,true
McGillivray Funeral Directors,139-141 Restalrig Road,Edinburgh,EH7 6HW,0131 554 7777,http://johnmcg-funeral-directors.co.uk,2585,1400,,,true
Scotmid Funerals,,Edinburgh,,0800 996 1927,https://scotmidfunerals.coop,2099,1399,false,false,true
